date,temp_london_00h,temp_london_06h,temp_london_12h,temp_london_18h,temp_bristol_00h,temp_bristol_06h,temp_bristol_12h,temp_bristol_18h,temp_leeds_00h,temp_leeds_06h,temp_leeds_12h,temp_leeds_18h,sunshine_london,sunshine_bristol,sunshine_leeds,total_demand,day_of_week,weekend,holiday,stringency,avg_gas_index
2023-03-21,9.3330785,10.36807817,13.19974517,9.934745,9.405105,10.85677158,13.40010492,9.934745,10.52016167,11.19016158,13.16516175,10.47849492,109.2085145,50.205672,446.243266,25065.75,Tue,0,0,5.56,109.74
2023-03-22,10.18990351,10.35553844,13.72331633,11.12403054,9.905422452,10.93693037,13.77066053,11.06462877,11.39754273,8.997622069,13.37341567,11.44039988,60,180,300,0,Wed,0,0,5.56,109.74
2023-03-23,9.689903514,10.35553844,12.22331633,11.62403054,7.405422452,9.936930369,12.27066053,9.564628769,8.397542727,10.49762207,13.87341567,11.44039988,120,120,120,0,Thu,0,0,5.56,109.74
